ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
252,parC4,parC3,parC2,befC4,befC2,None,PrevFail,None,None,None
254,parC4,None,None,befC4,befC2,None,befFC6,None,None,PrevFail
259,parC4,parC2,parC3,befC4,None,befC2,None,befFC6,befC3,None
265,parC4,parC3,parC2,befC4,befC2,PrevFail,PrevDO,befFC6,befC3,None
266,parC4,None,None,befC4,befDOC5,PrevFail,None,PrevDO,befC2,None
271,parC4,parC2,parC3,befC2,befC4,PrevFail,None,befC3,None,None
272,parC4,parC3,None,befC4,befC2,None,None,PrevDO,befC3,None
273,parC4,parC2,parC3,befC4,befC2,PrevFail,befC3,None,None,None
276,parC4,parC2,parC3,befC4,None,None,befC2,befC3,None,None
277,parC4,parC3,parC2,befC4,PrevFail,befC2,None,None,None,PrevDO
278,parC4,parC3,parC2,befC2,befC4,befFC5,None,None,None,None
281,parC4,parC3,parC2,befC4,PrevFail,befC2,None,befC3,None,None
287,parC4,parC3,parC2,befC4,befC2,PrevFail,None,None,None,befC3
288,parC4,parC2,parC3,befC4,None,PrevFail,befFC5,befC2,None,None
289,parC4,parC3,parC2,befC2,befC4,None,befFC5,None,None,PrevFail
292,parC4,parC3,parC2,befC4,befDOC5,befC2,befFC5,PrevFail,None,befFC6
298,parC4,parC3,parC2,befC4,befC2,None,PrevFail,None,None,befC3
299,parC4,parC2,parC3,befC4,PrevFail,befC2,None,None,None,befC3
301,parC4,parC2,parC3,befC4,PrevFail,befC2,None,None,None,befC3
303,parC4,parC3,parC2,befC4,befC3,befC2,PrevFail,None,None,befDOC6
306,parC4,parC2,parC3,befC4,None,None,befC2,None,befC3,befDOC5
309,parC4,parC3,parC2,befC2,befC4,None,PrevFail,None,befDOC6,None
310,parC4,parC3,parC2,befC4,None,befC2,PrevDO,None,None,befC3
312,parC4,parC3,parC2,befC2,befC4,None,None,befFC5,befDOC5,befFC6
313,parC4,parC3,parC2,befC4,befC2,PrevFail,None,None,None,None
316,parC4,parC2,parC3,befC4,befC2,None,PrevFail,None,None,None
318,parC4,parC3,parC2,befC4,PrevFail,befC2,None,befC3,None,None
321,parC4,parC2,parC3,befC2,PrevFail,befC4,None,None,None,befC3
329,parC4,parC3,parC2,befC4,befC2,PrevFail,None,befDOC6,None,None
331,parC4,parC3,parC2,befC4,PrevFail,None,None,None,befFC6,befC2
332,parC4,parC2,parC3,befC4,PrevFail,None,befC2,None,PrevDO,None
336,parC4,parC2,parC3,befC4,befC2,None,None,None,befFC6,befC3
338,parC4,parC3,parC2,befC4,befC2,None,None,PrevFail,None,befDOC6
356,parC4,parC2,parC3,befC2,befC4,None,None,None,None,None
362,parC4,parC3,parC2,befC4,PrevFail,None,befC2,None,None,None
366,parC4,parC2,parC3,befC4,PrevFail,befC2,None,befC3,None,befFC6
368,parC4,parC3,parC2,befC4,befC2,None,PrevFail,None,befC3,befDOC5
371,parC4,parC3,parC2,befC4,PrevFail,befC2,None,None,None,befC3
372,parC4,parC3,parC2,befC2,None,PrevFail,None,befC4,None,None
377,parC4,parC3,parC2,befC4,befC2,None,befC3,None,None,None
378,parC4,parC3,parC2,befC4,befC2,PrevFail,None,None,befC3,None
380,parC4,parC3,parC2,befC2,befC4,PrevFail,None,None,befDOC5,befC3
386,parC4,parC3,parC2,befC4,befC2,PrevDO,PrevFail,None,None,befDOC6
387,parC4,parC2,parC3,befC4,befC2,None,None,PrevFail,None,befC3
