,0,1,2,3,4,5,6,7,8,9
248,"('0.00 < parC4 <= 1.00', 0.3301197888238708, 248, 0)","('parC3 <= 0.00', -0.32344016951180604, 248, 0)","('0.00 < parC2 <= 1.00', 0.2855696769901656, 248, 0)","('befC4 <= 0.00', 0.14367206022612153, 248, 0)","('PrevDO <= 0.00', -0.14121005516275523, 248, 0)","('befDOC5 <= 0.00', -0.12953951590125268, 248, 0)","('PrevFail <= 0.00', 0.12127423361018438, 248, 0)","('befC2 <= 0.00', 0.12107448871269319, 248, 0)","('befFC6 <= 0.00', -0.10407910287820364, 248, 0)","('befFC5 <= 0.00', -0.100464237583107, 248, 0)"
249,"('0.00 < parC4 <= 1.00', 0.3257056418047289, 249, 1)","('0.00 < parC3 <= 1.00', 0.30063211677691754, 249, 1)","('0.00 < parC2 <= 1.00', 0.2795397359621029, 249, 1)","('befC4 <= 0.00', 0.17318935720215012, 249, 1)","('befC2 <= 0.00', 0.14641762025855992, 249, 1)","('PrevFail <= 0.00', 0.14379564480764662, 249, 1)","('befDOC6 > 0.00', 0.13236742995607179, 249, 1)","('befFC5 <= 0.00', -0.12089198415303917, 249, 1)","('befDOC5 > 0.00', 0.1194695132070719, 249, 1)","('befFC6 <= 0.00', -0.1090070435985664, 249, 1)"
250,"('parC4 <= 0.00', -0.34309395772997, 250, 0)","('0.00 < parC3 <= 1.00', 0.30147566119693986, 250, 0)","('0.00 < parC2 <= 1.00', 0.29816817501374543, 250, 0)","('befC4 > 0.00', -0.1469734510599075, 250, 0)","('PrevDO <= 0.00', -0.13243720957090901, 250, 0)","('befC2 <= 0.00', 0.1311627037150661, 250, 0)","('PrevFail <= 0.00', 0.13073202016382232, 250, 0)","('befFC5 <= 0.00', -0.11171315213310022, 250, 0)","('befDOC5 <= 0.00', -0.11088827621366919, 250, 0)","('befDOC6 <= 0.00', -0.10672192882550605, 250, 0)"
251,"('0.00 < parC4 <= 1.00', 0.34406598459593957, 251, 1)","('0.00 < parC2 <= 1.00', 0.30992681736854694, 251, 1)","('0.00 < parC3 <= 1.00', 0.30532268770569376, 251, 1)","('befC4 <= 0.00', 0.1390755403692375, 251, 1)","('PrevFail <= 0.00', 0.12930216537124806, 251, 1)","('befC2 <= 0.00', 0.12903408518693174, 251, 1)","('PrevDO > 0.00', 0.12392701847826647, 251, 1)","('befDOC6 <= 0.00', -0.1185016888608699, 251, 1)","('befFC5 <= 0.00', -0.11277478520852018, 251, 1)","('befC3 <= 0.00', 0.10468460706053276, 251, 1)"
252,"('0.00 < parC4 <= 1.00', 0.35881519852785226, 252, 1)","('0.00 < parC3 <= 1.00', 0.31144314861882233, 252, 1)","('0.00 < parC2 <= 1.00', 0.30109394404155715, 252, 1)","('befC4 <= 0.00', 0.16836062865543172, 252, 1)","('befC2 <= 0.00', 0.16104157916942993, 252, 1)","('befFC5 <= 0.00', -0.13009124672159522, 252, 1)","('PrevFail <= 0.00', 0.12063181180099765, 252, 1)","('befDOC6 <= 0.00', -0.11373781938586736, 252, 1)","('befFC6 <= 0.00', -0.11229793291636518, 252, 1)","('PrevDO <= 0.00', -0.11172768662026426, 252, 1)"
253,"('parC4 <= 0.00', -0.3465423135135735, 253, 0)","('0.00 < parC3 <= 1.00', 0.2999726191723691, 253, 0)","('0.00 < parC2 <= 1.00', 0.2952270191699036, 253, 0)","('PrevFail <= 0.00', 0.1486745840356527, 253, 0)","('befC2 <= 0.00', 0.14806014237102555, 253, 0)","('PrevDO <= 0.00', -0.1475703836087235, 253, 0)","('befC4 > 0.00', -0.13230505406494142, 253, 0)","('befFC5 <= 0.00', -0.12845461494620208, 253, 0)","('befFC6 > 0.00', 0.11274546316114353, 253, 0)","('befDOC6 > 0.00', 0.11189602091163221, 253, 0)"
254,"('0.00 < parC4 <= 1.00', 0.32350209822518483, 254, 1)","('parC3 <= 0.00', -0.2906252762097101, 254, 1)","('parC2 <= 0.00', -0.2794404026495628, 254, 1)","('befC4 <= 0.00', 0.15089020585357238, 254, 1)","('befC2 <= 0.00', 0.14851070147242187, 254, 1)","('befDOC5 <= 0.00', -0.14849377202196018, 254, 1)","('befFC6 > 0.00', 0.14319870204905083, 254, 1)","('befFC5 <= 0.00', -0.12698851009462594, 254, 1)","('PrevDO <= 0.00', -0.1264561044271545, 254, 1)","('PrevFail <= 0.00', 0.11924206628016867, 254, 1)"
255,"('parC4 <= 0.00', -0.34496729858407366, 255, 0)","('0.00 < parC3 <= 1.00', 0.31750379967040104, 255, 0)","('0.00 < parC2 <= 1.00', 0.3112204587998548, 255, 0)","('befC2 <= 0.00', 0.15930999722024825, 255, 0)","('befC4 <= 0.00', 0.1503368901385278, 255, 0)","('PrevDO > 0.00', 0.1262511269509484, 255, 0)","('befDOC5 <= 0.00', -0.11905594782913408, 255, 0)","('PrevFail <= 0.00', 0.1172921009076184, 255, 0)","('befFC6 <= 0.00', -0.11364820149681372, 255, 0)","('befFC5 <= 0.00', -0.10661057682092738, 255, 0)"
256,"('parC4 <= 0.00', -0.3502480447056728, 256, 0)","('0.00 < parC3 <= 1.00', 0.30128355893783026, 256, 0)","('parC2 <= 0.00', -0.29804216344886253, 256, 0)","('befC4 <= 0.00', 0.17316972080556017, 256, 0)","('PrevDO <= 0.00', -0.12566119388988767, 256, 0)","('befFC6 > 0.00', 0.12386493887656184, 256, 0)","('befC2 > 0.00', -0.11695395353074495, 256, 0)","('PrevFail <= 0.00', 0.10709297254621045, 256, 0)","('befDOC6 > 0.00', 0.10549606799469285, 256, 0)","('befFC5 <= 0.00', -0.09822580950671822, 256, 0)"
257,"('0.00 < parC4 <= 1.00', 0.3319468198726259, 257, 0)","('0.00 < parC3 <= 1.00', 0.301778693086522, 257, 0)","('parC2 <= 0.00', -0.28865734609609495, 257, 0)","('befC4 <= 0.00', 0.1683029546944941, 257, 0)","('befDOC6 <= 0.00', -0.1424522771821954, 257, 0)","('befFC5 <= 0.00', -0.14198995870109807, 257, 0)","('befC2 <= 0.00', 0.12344844771860985, 257, 0)","('PrevFail <= 0.00', 0.12150482246503976, 257, 0)","('PrevDO <= 0.00', -0.12138222754642733, 257, 0)","('befC3 <= 0.00', 0.11420666618736361, 257, 0)"
258,"('0.00 < parC4 <= 1.00', 0.33604186930627883, 258, 0)","('parC3 <= 0.00', -0.3222033678636539, 258, 0)","('0.00 < parC2 <= 1.00', 0.304232282849364, 258, 0)","('befC4 <= 0.00', 0.15599860604914798, 258, 0)","('befC2 <= 0.00', 0.13911071931619945, 258, 0)","('PrevFail <= 0.00', 0.1306233277566257, 258, 0)","('PrevDO > 0.00', 0.12962805562820956, 258, 0)","('befC3 > 0.00', -0.11032153447359618, 258, 0)","('befFC5 <= 0.00', -0.10800842026989699, 258, 0)","('befDOC5 <= 0.00', -0.10676271520264584, 258, 0)"
259,"('0.00 < parC4 <= 1.00', 0.33156268504510217, 259, 1)","('0.00 < parC2 <= 1.00', 0.32492442101346514, 259, 1)","('0.00 < parC3 <= 1.00', 0.323329479211885, 259, 1)","('befC4 <= 0.00', 0.14700017524981668, 259, 1)","('PrevFail > 0.00', -0.13217946025182958, 259, 1)","('befC2 <= 0.00', 0.13212622806367733, 259, 1)","('PrevDO <= 0.00', -0.13187783351131646, 259, 1)","('befFC6 > 0.00', 0.12448586440717194, 259, 1)","('befC3 <= 0.00', 0.11150269534497337, 259, 1)","('befDOC5 <= 0.00', -0.10559021173996505, 259, 1)"
260,"('0.00 < parC4 <= 1.00', 0.33205281386909835, 260, 0)","('0.00 < parC2 <= 1.00', 0.3008528908851182, 260, 0)","('0.00 < parC3 <= 1.00', 0.3005463432150061, 260, 0)","('befC4 <= 0.00', 0.16201509003691345, 260, 0)","('befC2 <= 0.00', 0.14355946837829778, 260, 0)","('PrevFail <= 0.00', 0.14310784640614052, 260, 0)","('PrevDO <= 0.00', -0.12467201792961843, 260, 0)","('befFC5 <= 0.00', -0.12052330102314948, 260, 0)","('befFC6 <= 0.00', -0.11885830023992892, 260, 0)","('befDOC5 <= 0.00', -0.11394487202818444, 260, 0)"
261,"('0.00 < parC4 <= 1.00', 0.3329592923619626, 261, 0)","('parC3 <= 0.00', -0.312616091451498, 261, 0)","('0.00 < parC2 <= 1.00', 0.30740226599685627, 261, 0)","('befC4 <= 0.00', 0.1698071502171261, 261, 0)","('befC2 <= 0.00', 0.14005345302294078, 261, 0)","('PrevFail <= 0.00', 0.13139886626560432, 261, 0)","('PrevDO <= 0.00', -0.11624477025818675, 261, 0)","('befFC6 <= 0.00', -0.11526086628881614, 261, 0)","('befFC5 <= 0.00', -0.11503222294786647, 261, 0)","('befDOC6 <= 0.00', -0.11174853330922997, 261, 0)"
262,"('0.00 < parC4 <= 1.00', 0.333840388674364, 262, 0)","('0.00 < parC3 <= 1.00', 0.3235085405573101, 262, 0)","('0.00 < parC2 <= 1.00', 0.31347049690648493, 262, 0)","('befC4 <= 0.00', 0.16739196873435058, 262, 0)","('befC2 <= 0.00', 0.15835516801400312, 262, 0)","('PrevFail > 0.00', -0.13908102573624082, 262, 0)","('befDOC5 <= 0.00', -0.13551924147919595, 262, 0)","('befC3 <= 0.00', 0.12675995971515092, 262, 0)","('PrevDO <= 0.00', -0.11428059502503855, 262, 0)","('befDOC6 <= 0.00', -0.10567528235954833, 262, 0)"
263,"('0.00 < parC4 <= 1.00', 0.3415339238028372, 263, 0)","('parC3 <= 0.00', -0.33540982110206946, 263, 0)","('0.00 < parC2 <= 1.00', 0.30602970226201526, 263, 0)","('befC4 <= 0.00', 0.17790974084193656, 263, 0)","('PrevFail <= 0.00', 0.14464708713077545, 263, 0)","('befC2 <= 0.00', 0.14100623422119304, 263, 0)","('PrevDO <= 0.00', -0.1338271697153192, 263, 0)","('befDOC5 <= 0.00', -0.12301851013704376, 263, 0)","('befFC6 <= 0.00', -0.10594069122510283, 263, 0)","('befFC5 <= 0.00', -0.10422784048784293, 263, 0)"
264,"('0.00 < parC4 <= 1.00', 0.35389008823164925, 264, 0)","('parC2 <= 0.00', -0.315991125517943, 264, 0)","('0.00 < parC3 <= 1.00', 0.3145430347265887, 264, 0)","('befC2 <= 0.00', 0.15269545956241676, 264, 0)","('befC4 <= 0.00', 0.15030571614408683, 264, 0)","('PrevFail <= 0.00', 0.13125478052634487, 264, 0)","('befDOC5 <= 0.00', -0.1242980754235544, 264, 0)","('befFC6 <= 0.00', -0.12070703064897001, 264, 0)","('PrevDO <= 0.00', -0.11660930678987354, 264, 0)","('befDOC6 > 0.00', 0.10608689608529749, 264, 0)"
265,"('0.00 < parC4 <= 1.00', 0.3415557546400041, 265, 1)","('0.00 < parC3 <= 1.00', 0.31147410091812033, 265, 1)","('0.00 < parC2 <= 1.00', 0.29529609150394104, 265, 1)","('befC4 <= 0.00', 0.16637523521341271, 265, 1)","('befC2 <= 0.00', 0.15215398707776143, 265, 1)","('PrevFail <= 0.00', 0.13605876501218384, 265, 1)","('PrevDO > 0.00', 0.11841320161867308, 265, 1)","('befFC6 > 0.00', 0.11410888217961311, 265, 1)","('befC3 <= 0.00', 0.11187265220817677, 265, 1)","('befDOC6 <= 0.00', -0.11113750400149146, 265, 1)"
266,"('0.00 < parC4 <= 1.00', 0.32821051907364984, 266, 1)","('parC2 <= 0.00', -0.2968511264548755, 266, 1)","('parC3 <= 0.00', -0.2768604156052509, 266, 1)","('befC4 <= 0.00', 0.1445830079813569, 266, 1)","('befDOC5 > 0.00', 0.12476440287049786, 266, 1)","('PrevFail <= 0.00', 0.12362517191590497, 266, 1)","('befFC6 <= 0.00', -0.12287685632830084, 266, 1)","('PrevDO > 0.00', 0.1205630321229222, 266, 1)","('befC2 <= 0.00', 0.1142413383611463, 266, 1)","('befFC5 <= 0.00', -0.11125191456573952, 266, 1)"
267,"('0.00 < parC4 <= 1.00', 0.34727896107488276, 267, 0)","('parC2 <= 0.00', -0.3021194739402027, 267, 0)","('0.00 < parC3 <= 1.00', 0.29904403063377233, 267, 0)","('befC4 <= 0.00', 0.16195975120742376, 267, 0)","('PrevFail > 0.00', -0.14570629041968097, 267, 0)","('befC2 <= 0.00', 0.1418279328165988, 267, 0)","('PrevDO <= 0.00', -0.13244424234403596, 267, 0)","('befFC5 <= 0.00', -0.12566508780670646, 267, 0)","('befFC6 <= 0.00', -0.12155038395578546, 267, 0)","('befC3 <= 0.00', 0.11089669641806768, 267, 0)"
268,"('0.00 < parC4 <= 1.00', 0.33934922281061153, 268, 0)","('parC3 <= 0.00', -0.31949792733784654, 268, 0)","('0.00 < parC2 <= 1.00', 0.3007797821098858, 268, 0)","('befC4 <= 0.00', 0.15710616335989386, 268, 0)","('befC2 <= 0.00', 0.15699339547951813, 268, 0)","('PrevDO <= 0.00', -0.12206030059078936, 268, 0)","('befDOC6 <= 0.00', -0.12187002308377666, 268, 0)","('PrevFail <= 0.00', 0.12147421003696836, 268, 0)","('befDOC5 <= 0.00', -0.11890308251184557, 268, 0)","('befFC6 <= 0.00', -0.11325960970927526, 268, 0)"
269,"('parC4 <= 0.00', -0.33905961475844426, 269, 0)","('parC2 <= 0.00', -0.29671679085955815, 269, 0)","('parC3 <= 0.00', -0.2956422528455925, 269, 0)","('befC4 <= 0.00', 0.14856817977271497, 269, 0)","('PrevFail <= 0.00', 0.1382315948362223, 269, 0)","('PrevDO <= 0.00', -0.12985019737632889, 269, 0)","('befFC6 <= 0.00', -0.12537653482589498, 269, 0)","('befC2 > 0.00', -0.12224364542725312, 269, 0)","('befC3 > 0.00', -0.11610683191720697, 269, 0)","('befDOC5 <= 0.00', -0.10451585407443698, 269, 0)"
270,"('0.00 < parC4 <= 1.00', 0.3458270333750058, 270, 0)","('parC3 <= 0.00', -0.32430932216717895, 270, 0)","('0.00 < parC2 <= 1.00', 0.2987200939975795, 270, 0)","('befC4 <= 0.00', 0.16994842456728584, 270, 0)","('PrevFail > 0.00', -0.13716369457029765, 270, 0)","('befC2 <= 0.00', 0.133563740644026, 270, 0)","('befC3 > 0.00', -0.12253866864374854, 270, 0)","('befFC5 <= 0.00', -0.12012578305763108, 270, 0)","('PrevDO > 0.00', 0.10955191780541407, 270, 0)","('befDOC5 <= 0.00', -0.10586194601392922, 270, 0)"
271,"('0.00 < parC4 <= 1.00', 0.3546566689153409, 271, 1)","('0.00 < parC2 <= 1.00', 0.32482932992690317, 271, 1)","('0.00 < parC3 <= 1.00', 0.3160316491378089, 271, 1)","('befC2 <= 0.00', 0.15687500048575606, 271, 1)","('befC4 <= 0.00', 0.15313351026460664, 271, 1)","('PrevFail <= 0.00', 0.14069133111474721, 271, 1)","('PrevDO <= 0.00', -0.13067190843150353, 271, 1)","('befC3 <= 0.00', 0.11334653184148101, 271, 1)","('befDOC5 <= 0.00', -0.10594920690156326, 271, 1)","('befFC6 <= 0.00', -0.10247218960204305, 271, 1)"
272,"('0.00 < parC4 <= 1.00', 0.3464123233145884, 272, 1)","('0.00 < parC3 <= 1.00', 0.31152441260880687, 272, 1)","('parC2 <= 0.00', -0.302705103187393, 272, 1)","('befC4 <= 0.00', 0.16065910072076647, 272, 1)","('befC2 <= 0.00', 0.15207474754243244, 272, 1)","('PrevFail > 0.00', -0.12665127230493692, 272, 1)","('befDOC5 <= 0.00', -0.12020027398169474, 272, 1)","('PrevDO > 0.00', 0.11973774223122918, 272, 1)","('befC3 <= 0.00', 0.11569149100719164, 272, 1)","('befFC5 <= 0.00', -0.11137098226972114, 272, 1)"
273,"('0.00 < parC4 <= 1.00', 0.33589549688422154, 273, 1)","('0.00 < parC2 <= 1.00', 0.31064903887544676, 273, 1)","('0.00 < parC3 <= 1.00', 0.2999864780914816, 273, 1)","('befC4 <= 0.00', 0.16758403941156366, 273, 1)","('befC2 <= 0.00', 0.1425088584201233, 273, 1)","('PrevFail <= 0.00', 0.12330321481580478, 273, 1)","('befC3 <= 0.00', 0.11970332340776317, 273, 1)","('befDOC6 <= 0.00', -0.11847052039159489, 273, 1)","('befDOC5 <= 0.00', -0.11304639750278911, 273, 1)","('PrevDO <= 0.00', -0.11203394845837802, 273, 1)"
274,"('parC4 <= 0.00', -0.3414766329583152, 274, 0)","('0.00 < parC2 <= 1.00', 0.3153178860231085, 274, 0)","('0.00 < parC3 <= 1.00', 0.308622392616339, 274, 0)","('befC4 > 0.00', -0.16377947828299225, 274, 0)","('befC2 <= 0.00', 0.14450840917585148, 274, 0)","('PrevDO <= 0.00', -0.12849737584349197, 274, 0)","('befFC5 <= 0.00', -0.11639557289067776, 274, 0)","('befDOC6 <= 0.00', -0.11317158781398996, 274, 0)","('PrevFail <= 0.00', 0.11239349062253941, 274, 0)","('befFC6 <= 0.00', -0.10700136018171458, 274, 0)"
275,"('0.00 < parC4 <= 1.00', 0.3415076542147395, 275, 0)","('parC2 <= 0.00', -0.3050525503664245, 275, 0)","('0.00 < parC3 <= 1.00', 0.3038059944029616, 275, 0)","('befC4 <= 0.00', 0.16048703647675963, 275, 0)","('PrevDO <= 0.00', -0.13684004643469436, 275, 0)","('PrevFail <= 0.00', 0.13452596926500107, 275, 0)","('befC2 <= 0.00', 0.1273179542965883, 275, 0)","('befDOC5 <= 0.00', -0.12330613071528593, 275, 0)","('befC3 <= 0.00', 0.11771732753763933, 275, 0)","('befDOC6 <= 0.00', -0.11481126546721107, 275, 0)"
276,"('0.00 < parC4 <= 1.00', 0.33970605950247756, 276, 1)","('0.00 < parC2 <= 1.00', 0.32301299762312263, 276, 1)","('0.00 < parC3 <= 1.00', 0.30980577538420795, 276, 1)","('befC4 <= 0.00', 0.1546275471991127, 276, 1)","('PrevDO <= 0.00', -0.1301054828333975, 276, 1)","('PrevFail > 0.00', -0.12195746569836681, 276, 1)","('befC2 <= 0.00', 0.11736989946361985, 276, 1)","('befC3 <= 0.00', 0.11134090168817111, 276, 1)","('befDOC5 <= 0.00', -0.10943866209103352, 276, 1)","('befDOC6 <= 0.00', -0.10815407739842432, 276, 1)"
277,"('0.00 < parC4 <= 1.00', 0.3521409485427572, 277, 1)","('0.00 < parC3 <= 1.00', 0.3120195629140549, 277, 1)","('0.00 < parC2 <= 1.00', 0.3084334371414702, 277, 1)","('befC4 <= 0.00', 0.15361290036038389, 277, 1)","('PrevFail <= 0.00', 0.13430890731237544, 277, 1)","('befC2 <= 0.00', 0.13061605709679713, 277, 1)","('befFC5 <= 0.00', -0.12683259545973308, 277, 1)","('befDOC5 <= 0.00', -0.12207559991101403, 277, 1)","('befDOC6 <= 0.00', -0.12039488917292726, 277, 1)","('PrevDO > 0.00', 0.1135521812966217, 277, 1)"
278,"('0.00 < parC4 <= 1.00', 0.33148107146007005, 278, 1)","('0.00 < parC3 <= 1.00', 0.3154755216785509, 278, 1)","('0.00 < parC2 <= 1.00', 0.28911878366378807, 278, 1)","('befC2 <= 0.00', 0.1647073600649669, 278, 1)","('befC4 <= 0.00', 0.15034818044421486, 278, 1)","('befFC5 > 0.00', 0.14034638193955898, 278, 1)","('befDOC5 <= 0.00', -0.12633262449997718, 278, 1)","('befDOC6 <= 0.00', -0.12312903983724281, 278, 1)","('PrevFail > 0.00', -0.12184011500801448, 278, 1)","('PrevDO <= 0.00', -0.11880506246167649, 278, 1)"
279,"('parC3 <= 0.00', -0.3152106497547778, 279, 0)","('parC4 <= 0.00', -0.3146699139525589, 279, 0)","('0.00 < parC2 <= 1.00', 0.2991852497503813, 279, 0)","('befC4 <= 0.00', 0.1481496926990213, 279, 0)","('befC2 <= 0.00', 0.14421538635035913, 279, 0)","('PrevDO <= 0.00', -0.1394535561269995, 279, 0)","('PrevFail <= 0.00', 0.12608895444259932, 279, 0)","('befDOC5 > 0.00', 0.11998406083287876, 279, 0)","('befDOC6 <= 0.00', -0.10033022740050358, 279, 0)","('befFC5 <= 0.00', -0.09929069189611638, 279, 0)"
280,"('parC4 <= 0.00', -0.3482737948797325, 280, 0)","('parC3 <= 0.00', -0.3075829360023857, 280, 0)","('parC2 <= 0.00', -0.28824274551660933, 280, 0)","('befC4 > 0.00', -0.15954125129111318, 280, 0)","('befC2 <= 0.00', 0.14905322599873008, 280, 0)","('PrevFail <= 0.00', 0.13626710158113453, 280, 0)","('befFC5 <= 0.00', -0.13620979365061286, 280, 0)","('PrevDO <= 0.00', -0.10952288096055784, 280, 0)","('befDOC5 <= 0.00', -0.10757302799094748, 280, 0)","('befC3 <= 0.00', 0.10260552840080624, 280, 0)"
281,"('0.00 < parC4 <= 1.00', 0.34996757774627246, 281, 1)","('0.00 < parC3 <= 1.00', 0.3242510831158796, 281, 1)","('0.00 < parC2 <= 1.00', 0.2998815799098269, 281, 1)","('befC4 <= 0.00', 0.14116614781429346, 281, 1)","('PrevFail <= 0.00', 0.13867128119997393, 281, 1)","('befC2 <= 0.00', 0.1344748956584634, 281, 1)","('PrevDO <= 0.00', -0.13175240059291915, 281, 1)","('befC3 <= 0.00', 0.11347094881608438, 281, 1)","('befDOC5 <= 0.00', -0.10720015018490854, 281, 1)","('befFC5 <= 0.00', -0.10485123378386367, 281, 1)"
282,"('0.00 < parC4 <= 1.00', 0.33933195172137026, 282, 0)","('parC3 <= 0.00', -0.3302130597053375, 282, 0)","('0.00 < parC2 <= 1.00', 0.29715833127195346, 282, 0)","('befC4 <= 0.00', 0.16660918053780346, 282, 0)","('befC2 <= 0.00', 0.13504918055613552, 282, 0)","('PrevFail <= 0.00', 0.13232015811581813, 282, 0)","('PrevDO > 0.00', 0.1202767557767654, 282, 0)","('befFC6 <= 0.00', -0.11546895531727357, 282, 0)","('befC3 <= 0.00', 0.10574529486080353, 282, 0)","('befDOC6 > 0.00', 0.10213814441693138, 282, 0)"
283,"('0.00 < parC4 <= 1.00', 0.32417344618462773, 283, 0)","('parC3 <= 0.00', -0.31965655357538275, 283, 0)","('0.00 < parC2 <= 1.00', 0.30433958333067074, 283, 0)","('befDOC5 <= 0.00', -0.1411670622526445, 283, 0)","('befC4 <= 0.00', 0.13406188507987937, 283, 0)","('befC2 <= 0.00', 0.13365368406850966, 283, 0)","('PrevDO <= 0.00', -0.1323224822648456, 283, 0)","('PrevFail <= 0.00', 0.11458714045620635, 283, 0)","('befFC5 <= 0.00', -0.11407423459732248, 283, 0)","('befDOC6 > 0.00', 0.10543634033450157, 283, 0)"
284,"('0.00 < parC4 <= 1.00', 0.3338786405010776, 284, 0)","('parC2 <= 0.00', -0.299140254141005, 284, 0)","('0.00 < parC3 <= 1.00', 0.2828009207171893, 284, 0)","('befC4 <= 0.00', 0.14514995289244512, 284, 0)","('PrevDO <= 0.00', -0.14421153235033785, 284, 0)","('PrevFail <= 0.00', 0.12860738235314537, 284, 0)","('befFC5 <= 0.00', -0.12100294873892206, 284, 0)","('befC2 > 0.00', -0.11654234969134447, 284, 0)","('befFC6 > 0.00', 0.11437286923748022, 284, 0)","('befDOC5 > 0.00', 0.11363283987077787, 284, 0)"
285,"('0.00 < parC4 <= 1.00', 0.3465299800539031, 285, 0)","('0.00 < parC3 <= 1.00', 0.31887609125764443, 285, 0)","('parC2 <= 0.00', -0.3176042553982305, 285, 0)","('befC2 <= 0.00', 0.15806891499931333, 285, 0)","('befC4 <= 0.00', 0.14321698783510362, 285, 0)","('PrevDO <= 0.00', -0.13002764353681648, 285, 0)","('befDOC5 <= 0.00', -0.11941265428705898, 285, 0)","('befC3 <= 0.00', 0.11123921845811367, 285, 0)","('befFC6 > 0.00', 0.1058946089373328, 285, 0)","('PrevFail <= 0.00', 0.10535952452666768, 285, 0)"
286,"('parC4 <= 0.00', -0.35309114802376806, 286, 0)","('0.00 < parC3 <= 1.00', 0.3173241657952734, 286, 0)","('0.00 < parC2 <= 1.00', 0.3117407148365473, 286, 0)","('befC4 <= 0.00', 0.16257198186803584, 286, 0)","('befC2 <= 0.00', 0.1474431007384417, 286, 0)","('PrevFail <= 0.00', 0.13502238984293963, 286, 0)","('befFC6 <= 0.00', -0.12885103109971988, 286, 0)","('PrevDO > 0.00', 0.12467083288492964, 286, 0)","('befC3 <= 0.00', 0.12236597072392802, 286, 0)","('befDOC6 <= 0.00', -0.09918979177086822, 286, 0)"
287,"('0.00 < parC4 <= 1.00', 0.3321197990475891, 287, 1)","('0.00 < parC3 <= 1.00', 0.30544115245608533, 287, 1)","('0.00 < parC2 <= 1.00', 0.30500479423655685, 287, 1)","('befC4 <= 0.00', 0.1748882700697375, 287, 1)","('befC2 <= 0.00', 0.14079851323553816, 287, 1)","('PrevFail <= 0.00', 0.12641528517847087, 287, 1)","('PrevDO <= 0.00', -0.11933237221931549, 287, 1)","('befFC6 <= 0.00', -0.11726492985690712, 287, 1)","('befDOC5 <= 0.00', -0.1141843632734407, 287, 1)","('befC3 <= 0.00', 0.1121011820257564, 287, 1)"
288,"('0.00 < parC4 <= 1.00', 0.33682793964742685, 288, 1)","('0.00 < parC2 <= 1.00', 0.3098483798027567, 288, 1)","('0.00 < parC3 <= 1.00', 0.30970194101633813, 288, 1)","('befC4 <= 0.00', 0.16059507556698843, 288, 1)","('PrevDO <= 0.00', -0.14967516729210956, 288, 1)","('PrevFail <= 0.00', 0.14079423244829742, 288, 1)","('befFC5 > 0.00', 0.1305396308930288, 288, 1)","('befC2 <= 0.00', 0.12776464455923459, 288, 1)","('befFC6 <= 0.00', -0.12068451735501926, 288, 1)","('befDOC5 <= 0.00', -0.1061251026555596, 288, 1)"
289,"('0.00 < parC4 <= 1.00', 0.35040472190624883, 289, 1)","('0.00 < parC3 <= 1.00', 0.3369176960361541, 289, 1)","('0.00 < parC2 <= 1.00', 0.33183028625085864, 289, 1)","('befC2 <= 0.00', 0.15543924031714482, 289, 1)","('befC4 <= 0.00', 0.14443286941140127, 289, 1)","('PrevDO <= 0.00', -0.12700508040660266, 289, 1)","('befFC5 > 0.00', 0.12322955007366299, 289, 1)","('befDOC5 <= 0.00', -0.11927089856042017, 289, 1)","('befFC6 <= 0.00', -0.11816349542376786, 289, 1)","('PrevFail <= 0.00', 0.11454397405674517, 289, 1)"
290,"('parC4 <= 0.00', -0.3459286017791883, 290, 0)","('0.00 < parC2 <= 1.00', 0.3065741586448253, 290, 0)","('0.00 < parC3 <= 1.00', 0.30579154862840047, 290, 0)","('PrevFail <= 0.00', 0.13137056107473197, 290, 0)","('PrevDO <= 0.00', -0.1275022165690869, 290, 0)","('befFC5 > 0.00', 0.12680920572102589, 290, 0)","('befC4 <= 0.00', 0.1258405803614879, 290, 0)","('befC2 <= 0.00', 0.12393215878990231, 290, 0)","('befDOC5 > 0.00', 0.11914087166085048, 290, 0)","('befC3 <= 0.00', 0.11455402712603972, 290, 0)"
291,"('0.00 < parC4 <= 1.00', 0.35619565553195504, 291, 0)","('0.00 < parC3 <= 1.00', 0.3246684299046433, 291, 0)","('0.00 < parC2 <= 1.00', 0.31016268571565436, 291, 0)","('befC4 <= 0.00', 0.1718663066406458, 291, 0)","('befC2 <= 0.00', 0.13712067060718686, 291, 0)","('PrevFail > 0.00', -0.13686061750992842, 291, 0)","('befC3 <= 0.00', 0.13540361790747196, 291, 0)","('PrevDO <= 0.00', -0.13048447522392917, 291, 0)","('befFC5 <= 0.00', -0.10883649694570739, 291, 0)","('befDOC5 > 0.00', 0.1048883456292892, 291, 0)"
292,"('0.00 < parC4 <= 1.00', 0.35818088506394896, 292, 1)","('0.00 < parC3 <= 1.00', 0.3141991141400794, 292, 1)","('0.00 < parC2 <= 1.00', 0.30933997711903366, 292, 1)","('befC4 <= 0.00', 0.16461561817194142, 292, 1)","('befDOC5 > 0.00', 0.13592169605856677, 292, 1)","('befC2 <= 0.00', 0.1345312734209548, 292, 1)","('befFC5 > 0.00', 0.1316285267737803, 292, 1)","('PrevFail <= 0.00', 0.12860558674166558, 292, 1)","('PrevDO <= 0.00', -0.10392078283052836, 292, 1)","('befFC6 > 0.00', 0.09738853710740006, 292, 1)"
