,0,1,2,3,4,5,6,7,8,9
10,"('parC4 <= 0.00', -0.3373788619638969, 10, 0)","('parC3 <= 0.00', -0.29665558556650196, 10, 0)","('parC2 <= 0.00', -0.2949765485930829, 10, 0)","('befC2 > 0.00', -0.15735679125559784, 10, 0)","('befC4 <= 0.00', 0.15442125066309043, 10, 0)","('PrevFail <= 0.00', 0.13249602996162152, 10, 0)","('befFC6 <= 0.00', -0.12082322304945829, 10, 0)","('PrevDO <= 0.00', -0.1118193844605116, 10, 0)","('befDOC5 <= 0.00', -0.10649541435565063, 10, 0)","('befFC5 <= 0.00', -0.0998176489441201, 10, 0)"
11,"('parC4 <= 0.00', -0.3419898553750129, 11, 0)","('parC2 <= 0.00', -0.28968493022379416, 11, 0)","('0.00 < parC3 <= 1.00', 0.28333080689945644, 11, 0)","('befC4 > 0.00', -0.14408548194542664, 11, 0)","('befC2 <= 0.00', 0.13643126286117416, 11, 0)","('PrevDO > 0.00', 0.13252054855591439, 11, 0)","('PrevFail <= 0.00', 0.1267396691661084, 11, 0)","('befC3 <= 0.00', 0.11287457667607137, 11, 0)","('befDOC6 <= 0.00', -0.10596550428199229, 11, 0)","('befFC5 <= 0.00', -0.1048420533699559, 11, 0)"
12,"('parC4 <= 0.00', -0.3531149455364236, 12, 0)","('0.00 < parC3 <= 1.00', 0.3289082253576538, 12, 0)","('0.00 < parC2 <= 1.00', 0.2969700687559055, 12, 0)","('befC4 > 0.00', -0.1545179396736206, 12, 0)","('befC2 <= 0.00', 0.14660892062044453, 12, 0)","('PrevFail <= 0.00', 0.1446760009363904, 12, 0)","('PrevDO > 0.00', 0.12467757599195008, 12, 0)","('befFC6 <= 0.00', -0.11860323971885452, 12, 0)","('befDOC6 <= 0.00', -0.11609590058302548, 12, 0)","('befFC5 <= 0.00', -0.11062045569161945, 12, 0)"
13,"('0.00 < parC4 <= 1.00', 0.33956524232717517, 13, 0)","('0.00 < parC2 <= 1.00', 0.31379169781410265, 13, 0)","('parC3 <= 0.00', -0.3084126488873462, 13, 0)","('befC4 <= 0.00', 0.15871850149291114, 13, 0)","('befC2 <= 0.00', 0.14394508034887846, 13, 0)","('PrevFail <= 0.00', 0.13391866977963035, 13, 0)","('PrevDO <= 0.00', -0.12376306821347231, 13, 0)","('befFC5 <= 0.00', -0.1128216052805663, 13, 0)","('befDOC5 > 0.00', 0.10781367110269553, 13, 0)","('befFC6 <= 0.00', -0.09794315433434503, 13, 0)"
14,"('parC4 <= 0.00', -0.34012777760003127, 14, 0)","('0.00 < parC3 <= 1.00', 0.3115900329467166, 14, 0)","('0.00 < parC2 <= 1.00', 0.2974655701286139, 14, 0)","('befC4 <= 0.00', 0.1512043921007019, 14, 0)","('befC2 <= 0.00', 0.15022323967657072, 14, 0)","('PrevFail > 0.00', -0.12619342935588998, 14, 0)","('PrevDO <= 0.00', -0.12293971276167925, 14, 0)","('befDOC5 <= 0.00', -0.12246478889659712, 14, 0)","('befC3 <= 0.00', 0.11513145315599564, 14, 0)","('befFC6 > 0.00', 0.10275543429295929, 14, 0)"
15,"('0.00 < parC4 <= 1.00', 0.3433108171668538, 15, 1)","('0.00 < parC2 <= 1.00', 0.3038105552850643, 15, 1)","('0.00 < parC3 <= 1.00', 0.30181234928779443, 15, 1)","('befC4 <= 0.00', 0.15934522031275092, 15, 1)","('befC2 <= 0.00', 0.15631651005236252, 15, 1)","('PrevDO > 0.00', 0.14219073009665179, 15, 1)","('befDOC6 <= 0.00', -0.1340656413813416, 15, 1)","('PrevFail <= 0.00', 0.12500594866876608, 15, 1)","('befFC6 <= 0.00', -0.11459254645253551, 15, 1)","('befDOC5 <= 0.00', -0.1136818871274572, 15, 1)"
16,"('0.00 < parC4 <= 1.00', 0.3485662929816718, 16, 0)","('parC3 <= 0.00', -0.30484932741571746, 16, 0)","('0.00 < parC2 <= 1.00', 0.29659042226636273, 16, 0)","('befC2 <= 0.00', 0.15621053508723268, 16, 0)","('befC4 <= 0.00', 0.15490384752766875, 16, 0)","('PrevDO <= 0.00', -0.13679578866115724, 16, 0)","('befFC5 <= 0.00', -0.11932022435328805, 16, 0)","('befDOC5 <= 0.00', -0.11816289891770226, 16, 0)","('befDOC6 <= 0.00', -0.11454888298503395, 16, 0)","('PrevFail <= 0.00', 0.11206216215086204, 16, 0)"
17,"('parC4 <= 0.00', -0.32992687799530995, 17, 0)","('parC3 <= 0.00', -0.3121972227614588, 17, 0)","('0.00 < parC2 <= 1.00', 0.29406323095766634, 17, 0)","('befC2 <= 0.00', 0.15300908059213128, 17, 0)","('befC4 <= 0.00', 0.14783164031453896, 17, 0)","('PrevFail <= 0.00', 0.1335336885159119, 17, 0)","('PrevDO <= 0.00', -0.10768378450512638, 17, 0)","('befDOC6 <= 0.00', -0.10025642081697035, 17, 0)","('befFC5 <= 0.00', -0.09701824934787427, 17, 0)","('befDOC5 > 0.00', 0.09442240294469667, 17, 0)"
18,"('0.00 < parC4 <= 1.00', 0.3536579303180873, 18, 1)","('0.00 < parC3 <= 1.00', 0.32848034910755247, 18, 1)","('0.00 < parC2 <= 1.00', 0.3084211032360645, 18, 1)","('befC4 <= 0.00', 0.1697730149583784, 18, 1)","('befC2 <= 0.00', 0.1309112517282996, 18, 1)","('PrevFail <= 0.00', 0.12323770970710408, 18, 1)","('PrevDO > 0.00', 0.11928501591211879, 18, 1)","('befFC6 > 0.00', 0.1132779351790224, 18, 1)","('befDOC5 <= 0.00', -0.10917884745509067, 18, 1)","('befFC5 <= 0.00', -0.1091098954052988, 18, 1)"
19,"('0.00 < parC4 <= 1.00', 0.330850477295984, 19, 0)","('0.00 < parC3 <= 1.00', 0.308169486392126, 19, 0)","('parC2 <= 0.00', -0.2886838450875766, 19, 0)","('befC4 <= 0.00', 0.15743269162659362, 19, 0)","('befC2 <= 0.00', 0.13602182307792732, 19, 0)","('PrevFail > 0.00', -0.12287661561583893, 19, 0)","('befFC6 <= 0.00', -0.11483082542096242, 19, 0)","('befC3 <= 0.00', 0.11237230813263106, 19, 0)","('befFC5 <= 0.00', -0.11022435060105489, 19, 0)","('PrevDO <= 0.00', -0.10897118434131449, 19, 0)"
